stage,total_experience_years
REJECT,7
REJECT,30
REJECT,11
REJECT,8
REJECT,30
REJECT,7
REJECT,23
REJECT,20
REJECT,1
REJECT,31
REJECT,0
REJECT,20
REJECT,2
REJECT,5
REJECT,20
REJECT,4
REJECT,30
REJECT,10
REJECT,0
REJECT,14
REJECT,6
REJECT,30
REJECT,0
SHORTLIST,40
SHORTLIST,29
SHORTLIST,20
SHORTLIST,20
SHORTLIST,17
SHORTLIST,30
INTERVIEW,15
ACCEPT,50
REJECT,20
REJECT,0
REJECT,6
REJECT,4
REJECT,1
REJECT,6
REJECT,8
REJECT,0
REJECT,33
REJECT,32
REJECT,3
REJECT,4
SHORTLIST,2
SHORTLIST,10
SHORTLIST,0
INTERVIEW,10
ACCEPT,0
REJECT,30
REJECT,29
REJECT,0
REJECT,9
REJECT,0
REJECT,7
REJECT,35
REJECT,20
SHORTLIST,22
SHORTLIST,34
SHORTLIST,13
SHORTLIST,0
SHORTLIST,15
SHORTLIST,21
SHORTLIST,10
SHORTLIST,20
SHORTLIST,28
SHORTLIST,9
ACCEPT,20
REJECT,16
REJECT,12
REJECT,2
REJECT,5
REJECT,10
REJECT,20
REJECT,24
REJECT,0
REJECT,23
REJECT,0
REJECT,10
REJECT,5
REJECT,10
REJECT,0
REJECT,22
REJECT,15
REJECT,4
REJECT,1
REJECT,30
REJECT,3
REJECT,0
REJECT,2617
REJECT,25
REJECT,0
REJECT,0
REJECT,24
REJECT,70
REJECT,0
REJECT,5
REJECT,36
REJECT,15
REJECT,40
SHORTLIST,100
SHORTLIST,18
SHORTLIST,25
SHORTLIST,0
SHORTLIST,25
SHORTLIST,1
SHORTLIST,8
SHORTLIST,13
SHORTLIST,25
SHORTLIST,20
SHORTLIST,1
SHORTLIST,10
INTERVIEW,8
INTERVIEW,15
ACCEPT,10
REJECT,0
REJECT,20
REJECT,4
REJECT,36
REJECT,15
REJECT,15
REJECT,9
REJECT,25
REJECT,0
REJECT,0
REJECT,22
REJECT,23
REJECT,25
REJECT,30
REJECT,17
REJECT,20
REJECT,28
REJECT,20
REJECT,27
REJECT,14
REJECT,20
REJECT,8
REJECT,13
REJECT,25
REJECT,7
REJECT,5
REJECT,29
REJECT,20
REJECT,3
SHORTLIST,18
SHORTLIST,15
SHORTLIST,2
SHORTLIST,10
SHORTLIST,20
SHORTLIST,5
SHORTLIST,5
SHORTLIST,30
SHORTLIST,0
SHORTLIST,30
SHORTLIST,19
SHORTLIST,20
SHORTLIST,12
SHORTLIST,3
SHORTLIST,8
INTERVIEW,40
ACCEPT,40
REJECT,25
REJECT,10
REJECT,7
REJECT,10
REJECT,0
REJECT,12
REJECT,9
REJECT,7
REJECT,8
REJECT,4
REJECT,15
REJECT,2
REJECT,0
REJECT,0
REJECT,24
REJECT,0
REJECT,6
REJECT,5
REJECT,3
REJECT,2
SHORTLIST,25
SHORTLIST,8
SHORTLIST,2
SHORTLIST,10
SHORTLIST,12
INTERVIEW,7
INTERVIEW,0
INTERVIEW,0
INTERVIEW,7
ACCEPT,0
REJECT,10
REJECT,13
REJECT,3
REJECT,2
REJECT,7
REJECT,6
REJECT,5
REJECT,30
REJECT,5
SHORTLIST,7
SHORTLIST,10
SHORTLIST,18
INTERVIEW,20
INTERVIEW,0
INTERVIEW,2
ACCEPT,0
REJECT,16
REJECT,7
REJECT,38
REJECT,18
REJECT,0
REJECT,2
REJECT,9000
REJECT,10
REJECT,0
REJECT,0
REJECT,6
REJECT,0
REJECT,10
REJECT,75
REJECT,0
REJECT,15
REJECT,5
REJECT,2
REJECT,10
REJECT,1
REJECT,2
REJECT,2
REJECT,19
REJECT,6
REJECT,17
REJECT,12
REJECT,14
REJECT,1
REJECT,20
REJECT,11
REJECT,2
REJECT,0
REJECT,9
REJECT,20
REJECT,0
REJECT,5
REJECT,23
REJECT,22
REJECT,0
REJECT,2
REJECT,0
REJECT,0
REJECT,13
REJECT,10
REJECT,0
REJECT,14
REJECT,3
REJECT,15
REJECT,27
REJECT,11
REJECT,6
REJECT,8
REJECT,15
REJECT,0
REJECT,0
REJECT,22
REJECT,7
REJECT,19
REJECT,17
REJECT,15
SHORTLIST,15
SHORTLIST,3
SHORTLIST,5
SHORTLIST,20
SHORTLIST,16
SHORTLIST,20
SHORTLIST,5
SHORTLIST,23
SHORTLIST,9
SHORTLIST,10
SHORTLIST,0
SHORTLIST,20
SHORTLIST,18
SHORTLIST,0
INTERVIEW,2
INTERVIEW,20
REJECT,19
REJECT,0
REJECT,15
REJECT,20
REJECT,16
REJECT,0
